year,quarter,state,registered_users
2021,4,Unknown,20433142
2021,4,Unknown,18456243
2021,4,Unknown,18139201
2022,1,Unknown,48227630
2022,1,Unknown,38999692
2022,1,Unknown,31200349
2022,1,Unknown,23857951
2022,1,Unknown,23398857
2022,1,Unknown,22150612
2022,1,Unknown,21919787
2022,1,Unknown,21667020
2022,1,Unknown,19656147
2022,1,Unknown,19265314
2022,2,Unknown,50802786
2022,2,Unknown,41247289
2022,2,Unknown,32831447
2022,2,Unknown,25157264
2022,2,Unknown,24716181
2022,2,Unknown,23314363
2022,2,Unknown,23124388
2022,2,Unknown,22829720
2022,2,Unknown,20766417
2022,2,Unknown,20321596
2022,3,Unknown,53432602
2022,3,Unknown,43537920
2022,3,Unknown,34493994
2022,3,Unknown,26496330
2022,3,Unknown,26042948
2022,3,Unknown,24506111
2022,3,Unknown,24372048
2022,3,Unknown,24019964
2022,3,Unknown,21884220
2022,3,Unknown,21394721
2022,4,Unknown,55954028
2022,4,Unknown,45648650
2022,4,Unknown,36081698
2022,4,Unknown,27778016
2022,4,Unknown,27255927
2022,4,Unknown,25656381
2022,4,Unknown,25536381
2022,4,Unknown,25136112
2022,4,Unknown,22913924
2022,4,Unknown,22412353
2023,1,Unknown,58470784
2023,1,Unknown,47806049
2023,1,Unknown,37681426
2023,1,Unknown,29065863
2023,1,Unknown,28523031
2023,1,Unknown,26804259
2023,1,Unknown,26732895
2023,1,Unknown,26270663
2023,1,Unknown,24002818
2023,1,Unknown,23436230
2023,2,Unknown,60766850
2023,2,Unknown,49829833
2023,2,Unknown,39122314
2023,2,Unknown,30240061
2023,2,Unknown,29745609
2023,2,Unknown,27827662
2023,2,Unknown,27814633
2023,2,Unknown,27317599
2023,2,Unknown,25042930
2023,2,Unknown,24396768
2023,3,Unknown,63150997
2023,3,Unknown,51870932
2023,3,Unknown,40634390
2023,3,Unknown,31493897
2023,3,Unknown,30997182
2023,3,Unknown,28966414
2023,3,Unknown,28896668
2023,3,Unknown,28405436
2023,3,Unknown,26109033
2023,3,Unknown,25383429
2023,4,Unknown,65422120
2023,4,Unknown,53799813
2023,4,Unknown,42031396
2023,4,Unknown,32658698
2023,4,Unknown,32157348
2023,4,Unknown,30064546
2023,4,Unknown,29902636
2023,4,Unknown,29452801
2023,4,Unknown,27078072
2023,4,Unknown,26312655
2024,1,Unknown,68016876
2024,1,Unknown,56028765
2024,1,Unknown,43668141
2024,1,Unknown,34008709
2024,1,Unknown,33505514
2024,1,Unknown,31306843
2024,1,Unknown,31082447
2024,1,Unknown,30638750
2024,1,Unknown,28238554
2024,1,Unknown,27381972
2024,2,Unknown,70597223
2024,2,Unknown,58199149
2024,2,Unknown,45290606
2024,2,Unknown,35303719
2024,2,Unknown,34773619
2024,2,Unknown,32540397
2024,2,Unknown,32232171
2024,2,Unknown,31818880
2024,2,Unknown,29324466
2024,2,Unknown,28439885
2024,3,Unknown,69641161
2024,3,Unknown,67922000
2024,3,Unknown,44548391
2024,3,Unknown,35583171
2024,3,Unknown,33612828
2024,3,Unknown,32965209
2024,3,Unknown,31899315
2024,3,Unknown,31764084
2024,3,Unknown,30776242
2024,3,Unknown,29145303
2024,4,Unknown,71807805
2024,4,Unknown,70474113
2024,4,Unknown,45917653
2024,4,Unknown,36828375
2024,4,Unknown,34750181
2024,4,Unknown,33966610
2024,4,Unknown,33345285
2024,4,Unknown,32876660
2024,4,Unknown,31726856
2024,4,Unknown,29984431
