state,year,quarter,pincode,registered_users
Andaman & Nicobar Islands,2021,4,Unknown,11623
Andaman & Nicobar Islands,2021,4,Unknown,7813
Andaman & Nicobar Islands,2021,4,Unknown,3815
Andaman & Nicobar Islands,2021,4,Unknown,3247
Andaman & Nicobar Islands,2021,4,Unknown,2962
Andaman & Nicobar Islands,2021,4,Unknown,2411
Andaman & Nicobar Islands,2021,4,Unknown,2200
Andaman & Nicobar Islands,2021,4,Unknown,1902
Andaman & Nicobar Islands,2022,1,Unknown,15011
Andaman & Nicobar Islands,2022,1,Unknown,13070
Andaman & Nicobar Islands,2022,1,Unknown,12300
Andaman & Nicobar Islands,2022,1,Unknown,8271
Andaman & Nicobar Islands,2022,1,Unknown,4107
Andaman & Nicobar Islands,2022,1,Unknown,3455
Andaman & Nicobar Islands,2022,1,Unknown,3146
Andaman & Nicobar Islands,2022,1,Unknown,2552
Andaman & Nicobar Islands,2022,1,Unknown,2344
Andaman & Nicobar Islands,2022,1,Unknown,2034
Andaman & Nicobar Islands,2022,2,Unknown,15799
Andaman & Nicobar Islands,2022,2,Unknown,13791
Andaman & Nicobar Islands,2022,2,Unknown,12947
Andaman & Nicobar Islands,2022,2,Unknown,8709
Andaman & Nicobar Islands,2022,2,Unknown,4361
Andaman & Nicobar Islands,2022,2,Unknown,3674
Andaman & Nicobar Islands,2022,2,Unknown,3319
Andaman & Nicobar Islands,2022,2,Unknown,2700
Andaman & Nicobar Islands,2022,2,Unknown,2471
Andaman & Nicobar Islands,2022,2,Unknown,2162
Andaman & Nicobar Islands,2022,3,Unknown,16666
Andaman & Nicobar Islands,2022,3,Unknown,14503
Andaman & Nicobar Islands,2022,3,Unknown,13649
Andaman & Nicobar Islands,2022,3,Unknown,9148
Andaman & Nicobar Islands,2022,3,Unknown,4572
Andaman & Nicobar Islands,2022,3,Unknown,3868
Andaman & Nicobar Islands,2022,3,Unknown,3493
Andaman & Nicobar Islands,2022,3,Unknown,2837
Andaman & Nicobar Islands,2022,3,Unknown,2577
Andaman & Nicobar Islands,2022,3,Unknown,2268
Andaman & Nicobar Islands,2022,4,Unknown,17406
Andaman & Nicobar Islands,2022,4,Unknown,15185
Andaman & Nicobar Islands,2022,4,Unknown,14337
Andaman & Nicobar Islands,2022,4,Unknown,9591
Andaman & Nicobar Islands,2022,4,Unknown,4760
Andaman & Nicobar Islands,2022,4,Unknown,4051
Andaman & Nicobar Islands,2022,4,Unknown,3647
Andaman & Nicobar Islands,2022,4,Unknown,2975
Andaman & Nicobar Islands,2022,4,Unknown,2679
Andaman & Nicobar Islands,2022,4,Unknown,2358
Andaman & Nicobar Islands,2023,1,Unknown,18209
Andaman & Nicobar Islands,2023,1,Unknown,15848
Andaman & Nicobar Islands,2023,1,Unknown,15006
Andaman & Nicobar Islands,2023,1,Unknown,10033
Andaman & Nicobar Islands,2023,1,Unknown,4993
Andaman & Nicobar Islands,2023,1,Unknown,4239
Andaman & Nicobar Islands,2023,1,Unknown,3795
Andaman & Nicobar Islands,2023,1,Unknown,3141
Andaman & Nicobar Islands,2023,1,Unknown,2792
Andaman & Nicobar Islands,2023,1,Unknown,2480
Andaman & Nicobar Islands,2023,2,Unknown,18944
Andaman & Nicobar Islands,2023,2,Unknown,16488
Andaman & Nicobar Islands,2023,2,Unknown,15562
Andaman & Nicobar Islands,2023,2,Unknown,10387
Andaman & Nicobar Islands,2023,2,Unknown,5239
Andaman & Nicobar Islands,2023,2,Unknown,4425
Andaman & Nicobar Islands,2023,2,Unknown,3937
Andaman & Nicobar Islands,2023,2,Unknown,3261
