state,year,quarter,district,count,amount
Arunachal Pradesh,2020,4,Pakke Kessang,2,1017.0
Arunachal Pradesh,2020,4,Dibang Valley,1,2967.0
Arunachal Pradesh,2020,4,West Kameng,15,22182.0
Arunachal Pradesh,2020,4,East Siang,10,8075.0
Arunachal Pradesh,2020,4,Upper Subansiri,2,1154.0
Arunachal Pradesh,2020,4,East Kameng,1,32.0
Arunachal Pradesh,2020,4,Lohit,5,4148.0
Arunachal Pradesh,2020,4,Lepa Rada,3,2685.0
Arunachal Pradesh,2020,4,Tawang,10,9740.0
Arunachal Pradesh,2020,4,Namsai,3,984.0
Arunachal Pradesh,2021,1,Lower Dibang Valley,5,4680.0
Arunachal Pradesh,2021,1,Lower Subansiri,2,5103.0
Arunachal Pradesh,2021,1,Longding,2,1334.0
Arunachal Pradesh,2021,1,West Siang,7,3690.0
Arunachal Pradesh,2021,1,Kamle,1,167.0
Arunachal Pradesh,2021,1,Upper Siang,5,900.0
Arunachal Pradesh,2021,1,Tirap,7,7696.0
Arunachal Pradesh,2021,1,Papum Pare,65,62651.0
Arunachal Pradesh,2021,1,Siang,2,136.0
Arunachal Pradesh,2021,1,Lower Siang,5,733.0
Arunachal Pradesh,2021,1,Kra Daadi,2,366.0
Arunachal Pradesh,2021,1,Changlang,12,4524.0
Arunachal Pradesh,2021,1,Pakke Kessang,2,415.0
Arunachal Pradesh,2021,1,Dibang Valley,1,669.0
Arunachal Pradesh,2021,1,West Kameng,15,9871.0
Arunachal Pradesh,2021,1,East Siang,18,8695.0
Arunachal Pradesh,2021,1,Upper Subansiri,7,4237.0
Arunachal Pradesh,2021,1,East Kameng,4,132.0
Arunachal Pradesh,2021,1,Lohit,11,2951.0
Arunachal Pradesh,2021,1,Lepa Rada,2,1258.0
Arunachal Pradesh,2021,1,Tawang,11,10155.0
Arunachal Pradesh,2021,1,Namsai,8,1248.0
Arunachal Pradesh,2021,2,Lower Dibang Valley,14,8091.0
Arunachal Pradesh,2021,2,Lower Subansiri,10,4236.0
Arunachal Pradesh,2021,2,West Siang,18,8990.0
Arunachal Pradesh,2021,2,Upper Siang,1,210.0
Arunachal Pradesh,2021,2,Tirap,1,1405.0
Arunachal Pradesh,2021,2,Papum Pare,69,89335.0
Arunachal Pradesh,2021,2,Kurung Kumey,2,94.0
Arunachal Pradesh,2021,2,Anjaw,2,19882.0
Arunachal Pradesh,2021,2,Siang,1,5423.0
Arunachal Pradesh,2021,2,Kra Daadi,1,210.0
Arunachal Pradesh,2021,2,Changlang,12,11258.0
Arunachal Pradesh,2021,2,West Kameng,20,17896.0
Arunachal Pradesh,2021,2,Shi Yomi,1,933.0
Arunachal Pradesh,2021,2,East Siang,6,2979.0
Arunachal Pradesh,2021,2,Upper Subansiri,2,467.0
Arunachal Pradesh,2021,2,East Kameng,4,327.0
Arunachal Pradesh,2021,2,Lohit,16,21096.0
Arunachal Pradesh,2021,2,Tawang,13,23216.0
