state,year,quarter,district,registered_users,app_opens
Andhra Pradesh,2019,2,East Godavari,945181,7156762
Andhra Pradesh,2019,2,Srikakulam,392764,3230330
Andhra Pradesh,2019,2,Visakhapatnam,1318740,13681907
Andhra Pradesh,2019,2,Prakasam,539462,4488365
Andhra Pradesh,2019,2,Anantapur,695114,6056591
Andhra Pradesh,2019,2,Kurnool,680118,6240480
Andhra Pradesh,2019,2,Guntur,915256,7268875
Andhra Pradesh,2019,2,Krishna,952300,7822632
Andhra Pradesh,2019,2,Spsr Nellore,558303,4774473
Andhra Pradesh,2019,2,Vizianagaram,355058,3541678
Andhra Pradesh,2019,2,Ysr,519031,4345848
Andhra Pradesh,2019,2,West Godavari,592185,3853094
Andhra Pradesh,2019,2,Chittoor,925491,8914216
Andhra Pradesh,2019,3,East Godavari,1057167,28275322
Andhra Pradesh,2019,3,Srikakulam,437939,11813195
Andhra Pradesh,2019,3,Visakhapatnam,1460464,54836001
Andhra Pradesh,2019,3,Prakasam,598568,16267041
Andhra Pradesh,2019,3,Anantapur,773656,22845084
Andhra Pradesh,2019,3,Kurnool,755024,22827473
Andhra Pradesh,2019,3,Guntur,1026418,28477132
Andhra Pradesh,2019,3,Krishna,1066546,30077671
Andhra Pradesh,2019,3,Spsr Nellore,619592,17768733
Andhra Pradesh,2019,3,Vizianagaram,394375,13065845
Andhra Pradesh,2019,3,Ysr,574109,15833900
Andhra Pradesh,2019,3,West Godavari,662102,14227407
Andhra Pradesh,2019,3,Chittoor,1032733,34638738
Andhra Pradesh,2019,4,East Godavari,1195228,38299189
Andhra Pradesh,2019,4,Srikakulam,496266,16353822
Andhra Pradesh,2019,4,Visakhapatnam,1620235,70749983
Andhra Pradesh,2019,4,Prakasam,673522,21639748
Andhra Pradesh,2019,4,Anantapur,873033,30278539
Andhra Pradesh,2019,4,Kurnool,846885,29676997
Andhra Pradesh,2019,4,Guntur,1158708,37846179
Andhra Pradesh,2019,4,Krishna,1199971,39407473
Andhra Pradesh,2019,4,Spsr Nellore,697154,23608360
